ID,Area,City,Restaurant Price,Avg Rating,Total Rating,Food Item,Food Type,Delivery Time,Review
3938,Business District,Delhi,700,3.0,1192,Chicken Caesar Salad,Gluten-Free,20-30 min,Terrible taste!
3939,Old Town,Pune,300,4.5,2241,Pancakes,Non-Vegetarian,40-50 min,It was okay.
3940,Business District,Chennai,600,4.0,5248,Lassi,Vegan,40-50 min,Not as described.
3941,Downtown,Pune,400,4.2,375,Ramen,Vegan,50-60 min,Neither great nor bad.
3942,Tech Park,Delhi,500,3.5,975,Bagel,Vegetarian,20-30 min,My new favorite dish!
3943,Suburb,Chennai,500,3.5,2031,Choco Lava Cake,Non-Vegetarian,40-50 min,Would order again if needed.
3944,Residential Area,Delhi,700,5.0,8663,Momos,Fast Food,30-40 min,Neither great nor bad.
3945,Tech Park,Ahmedabad,1000,3.5,5373,Ice Cream Sundae,Gluten-Free,50-60 min,Highly recommended!
3946,Tech Park,Hyderabad,900,3.0,1024,Samosa,Healthy,20-30 min,Perfectly cooked and well-seasoned.
3947,City Center,Mumbai,1000,4.2,4129,Tacos,Non-Vegetarian,50-60 min,Neither great nor bad.
3948,Old Town,Chennai,900,4.0,9228,Falafel Wrap,Vegan,40-50 min,Highly recommended!
3949,Residential Area,Pune,200,3.0,6929,Pasta Alfredo,Non-Vegetarian,40-50 min,Wouldn't order again.
3950,Business District,Pune,100,4.2,8035,BBQ Ribs,Gluten-Free,40-50 min,Perfectly cooked and well-seasoned.
3951,Suburb,Chennai,300,4.7,1612,Pasta Alfredo,Fast Food,30-40 min,Late delivery ruined it.
3952,Residential Area,Ahmedabad,800,3.0,2289,Bubble Tea,Vegan,50-60 min,Perfectly cooked and well-seasoned.
3953,Suburb,Pune,700,4.5,4165,Steak,Healthy,40-50 min,Disappointed.
3954,Old Town,Ahmedabad,100,4.0,7497,Greek Salad,Gluten-Free,30-40 min,A decent meal.
3955,City Center,Ahmedabad,600,3.0,6432,Avocado Toast,Vegan,30-40 min,Tasty and worth the price.
3956,Old Town,Pune,700,4.0,7764,BBQ Ribs,Healthy,30-40 min,My new favorite dish!
3957,Old Town,Bangalore,800,4.0,9638,Smoothie Bowl,Gluten-Free,50-60 min,Average taste.
3958,Tech Park,Hyderabad,1000,5.0,9643,Samosa,Fast Food,50-60 min,Standard quality.
3959,City Center,Mumbai,1000,5.0,2050,Idli Sambar,Vegan,30-40 min,Tasty and worth the price.
3960,Business District,Ahmedabad,100,5.0,2788,Pho,Non-Vegetarian,20-30 min,Highly recommended!
3961,Business District,Chennai,400,5.0,1325,Margherita Pizza,Vegetarian,40-50 min,Not worth the price.
3962,Residential Area,Chennai,800,4.5,545,Fish and Chips,Gluten-Free,30-40 min,Terrible taste!
3963,Suburb,Kolkata,600,4.2,7176,Ramen,Vegetarian,50-60 min,Mediocre experience.
3964,Tech Park,Ahmedabad,100,3.5,1588,French Fries,Healthy,20-30 min,A decent meal.
3965,Business District,Ahmedabad,100,3.5,942,Croissant,Fast Food,40-50 min,Delicious and fresh.
3966,Tech Park,Ahmedabad,500,4.5,1706,Veg Biryani,Non-Vegetarian,50-60 min,Wouldn't order again.
3967,Suburb,Mumbai,1000,4.0,1566,Salmon Teriyaki,Healthy,20-30 min,Amazing taste and quick delivery.
3968,Residential Area,Mumbai,800,4.7,5437,Cold Coffee,Non-Vegetarian,20-30 min,Standard quality.
3969,Residential Area,Delhi,800,4.0,3073,Samosa,Non-Vegetarian,30-40 min,Tasty and worth the price.
3970,Tech Park,Hyderabad,100,4.2,2189,Paneer Butter Masala,Vegan,30-40 min,Standard quality.
3971,Old Town,Delhi,1000,4.2,2874,Butter Chicken,Vegetarian,40-50 min,Superb packaging and presentation.
3972,Downtown,Kolkata,400,4.2,1634,Croissant,Healthy,30-40 min,Superb packaging and presentation.
3973,Downtown,Kolkata,400,4.7,4688,Burrito,Vegan,30-40 min,Absolutely loved it!
3974,Tech Park,Ahmedabad,300,4.2,6506,Choco Lava Cake,Vegetarian,20-30 min,Delicious and fresh.
3975,Suburb,Ahmedabad,700,4.0,5042,Falafel Wrap,Vegan,40-50 min,Average taste.
3976,City Center,Chennai,300,4.2,4018,Tacos,Fast Food,30-40 min,Perfectly cooked and well-seasoned.
3977,City Center,Hyderabad,800,4.0,673,Pho,Fast Food,50-60 min,Too spicy and oily.
3978,City Center,Mumbai,400,5.0,1047,Chicken Biryani,Vegetarian,30-40 min,Neither great nor bad.
3979,City Center,Kolkata,400,4.5,923,Pepperoni Pizza,Vegan,20-30 min,Mediocre experience.
3980,Downtown,Ahmedabad,700,4.7,6211,Waffles,Healthy,30-40 min,Worst experience ever.
3981,Business District,Chennai,200,3.5,65,Burrito,Gluten-Free,20-30 min,Best meal I've had in a while!
3982,Business District,Mumbai,700,5.0,4859,Lassi,Vegetarian,50-60 min,"Good, but nothing extraordinary."
3983,Business District,Mumbai,600,3.5,5434,Pani Puri,Gluten-Free,20-30 min,Highly recommended!
3984,Tech Park,Mumbai,500,3.0,8544,Paneer Butter Masala,Healthy,40-50 min,Tasty and worth the price.
3985,Business District,Chennai,900,4.2,6678,Pav Bhaji,Gluten-Free,40-50 min,Highly recommended!
3986,Residential Area,Bangalore,1000,4.5,8962,French Fries,Non-Vegetarian,30-40 min,Delicious and fresh.
3987,Old Town,Bangalore,300,3.0,6395,Smoothie Bowl,Vegan,40-50 min,Late delivery ruined it.
3988,Suburb,Ahmedabad,300,5.0,916,Lassi,Vegan,30-40 min,"Good, but nothing extraordinary."
3989,Business District,Pune,400,3.5,8458,BBQ Ribs,Vegan,30-40 min,Delicious and fresh.
3990,Residential Area,Delhi,200,4.5,3987,Pani Puri,Vegan,40-50 min,Best meal I've had in a while!
3991,Downtown,Ahmedabad,200,4.0,2888,Avocado Toast,Vegetarian,50-60 min,Nothing special but edible.
3992,Residential Area,Pune,400,3.5,1412,Chicken Biryani,Non-Vegetarian,50-60 min,Would order again if needed.
3993,Suburb,Ahmedabad,300,4.5,4903,Burrito,Vegan,30-40 min,Wouldn't order again.
3994,City Center,Pune,200,4.7,3168,Cheeseburger,Non-Vegetarian,20-30 min,Late delivery ruined it.
3995,Suburb,Hyderabad,900,4.7,4336,Falafel Wrap,Gluten-Free,20-30 min,My new favorite dish!
3996,City Center,Mumbai,1000,4.0,2860,Chicken Biryani,Fast Food,50-60 min,Amazing taste and quick delivery.
3997,City Center,Delhi,900,3.5,5326,Gulab Jamun,Non-Vegetarian,50-60 min,Absolutely loved it!
3998,Suburb,Bangalore,500,4.0,4679,Chicken Wings,Fast Food,40-50 min,Delicious and fresh.
3999,Business District,Pune,700,4.2,5012,Veg Biryani,Vegan,20-30 min,Average taste.
4000,Old Town,Mumbai,200,4.2,3701,Pepperoni Pizza,Gluten-Free,20-30 min,Superb packaging and presentation.
4001,Business District,Bangalore,700,5.0,2566,Falafel Wrap,Vegetarian,50-60 min,Late delivery ruined it.
4002,Suburb,Ahmedabad,200,4.5,1552,Pani Puri,Non-Vegetarian,50-60 min,Late delivery ruined it.
4003,Downtown,Kolkata,500,4.0,1084,Avocado Toast,Vegetarian,50-60 min,Too spicy and oily.
4004,City Center,Kolkata,200,3.5,3632,Shawarma,Vegetarian,20-30 min,Standard quality.
4005,Tech Park,Bangalore,200,4.0,693,Chicken Caesar Salad,Gluten-Free,50-60 min,Best meal I've had in a while!
4006,Suburb,Ahmedabad,700,4.7,9046,Butter Chicken,Vegetarian,50-60 min,My new favorite dish!
4007,Business District,Mumbai,600,4.2,8996,Shawarma,Non-Vegetarian,50-60 min,It was okay.
4008,Residential Area,Pune,500,4.2,5572,Waffles,Vegan,50-60 min,Too spicy and oily.
4009,Business District,Bangalore,900,4.0,7997,Dal Makhani,Vegetarian,40-50 min,Cold and stale food.
4010,Downtown,Hyderabad,300,5.0,1903,Smoothie Bowl,Non-Vegetarian,20-30 min,Late delivery ruined it.
4011,Tech Park,Ahmedabad,700,4.7,2266,Samosa,Healthy,40-50 min,Mediocre experience.
4012,Business District,Bangalore,300,4.2,8382,Ice Cream Sundae,Vegan,50-60 min,Neither great nor bad.
4013,Suburb,Kolkata,700,3.0,2398,Pancakes,Fast Food,20-30 min,Nothing special but edible.
4014,Suburb,Hyderabad,100,4.2,3924,Pancakes,Vegetarian,30-40 min,A decent meal.
4015,Downtown,Chennai,100,3.0,7185,Shawarma,Fast Food,40-50 min,Best meal I've had in a while!
4016,Business District,Kolkata,500,3.0,8022,Falafel Wrap,Gluten-Free,30-40 min,Highly recommended!
4017,Business District,Bangalore,900,4.2,572,Waffles,Gluten-Free,40-50 min,Highly recommended!
4018,Residential Area,Hyderabad,600,4.0,8439,Lassi,Vegan,20-30 min,Worst experience ever.
4019,Business District,Bangalore,300,3.0,7119,Fruit Bowl,Vegan,40-50 min,My new favorite dish!
4020,Suburb,Hyderabad,500,4.0,722,Gulab Jamun,Vegan,50-60 min,Absolutely loved it!
4021,Business District,Hyderabad,400,4.2,8689,Salmon Teriyaki,Vegan,40-50 min,Not worth the price.
4022,Residential Area,Mumbai,200,4.0,3172,Poke Bowl,Healthy,30-40 min,"Good, but nothing extraordinary."
4023,Old Town,Ahmedabad,500,4.2,4953,French Fries,Vegetarian,40-50 min,Disappointed.
4024,Old Town,Chennai,100,4.2,864,Tacos,Fast Food,30-40 min,Wouldn't order again.
4025,Old Town,Kolkata,600,3.0,5406,Pav Bhaji,Non-Vegetarian,50-60 min,Late delivery ruined it.
4026,Suburb,Hyderabad,100,5.0,4046,Cold Coffee,Fast Food,30-40 min,Neither great nor bad.
4027,Business District,Pune,1000,4.5,3029,Grilled Cheese,Vegetarian,30-40 min,Not worth the price.
4028,Business District,Mumbai,600,4.0,7265,Bubble Tea,Fast Food,40-50 min,Nothing special but edible.
4029,Residential Area,Delhi,900,4.2,2000,Dal Makhani,Vegetarian,20-30 min,Average taste.
4030,Downtown,Chennai,900,4.0,8736,Bagel,Vegan,20-30 min,Delicious and fresh.
4031,Old Town,Bangalore,200,4.5,2435,Smoothie Bowl,Gluten-Free,40-50 min,A decent meal.
4032,City Center,Hyderabad,200,4.7,6136,Momos,Non-Vegetarian,20-30 min,Wouldn't order again.
4033,Tech Park,Pune,800,3.0,4077,Pancakes,Healthy,20-30 min,Tasty and worth the price.
4034,Business District,Mumbai,700,3.5,432,Ramen,Non-Vegetarian,20-30 min,Perfectly cooked and well-seasoned.
4035,Business District,Chennai,400,4.7,3672,Butter Chicken,Vegetarian,50-60 min,A decent meal.
4036,Tech Park,Chennai,500,3.5,9008,Veg Biryani,Healthy,50-60 min,Standard quality.
4037,Business District,Bangalore,500,4.2,5942,Shawarma,Non-Vegetarian,40-50 min,Not worth the price.
4038,Suburb,Pune,600,4.7,2055,Chicken Caesar Salad,Gluten-Free,20-30 min,Absolutely loved it!
4039,Suburb,Mumbai,1000,4.0,7134,Cold Coffee,Healthy,30-40 min,Delicious and fresh.
4040,City Center,Kolkata,1000,4.5,2439,Bagel,Healthy,20-30 min,Perfectly cooked and well-seasoned.
4041,City Center,Chennai,100,3.5,7493,Momos,Gluten-Free,40-50 min,Neither great nor bad.
4042,Residential Area,Hyderabad,400,4.5,3831,Cold Coffee,Healthy,40-50 min,Highly recommended!
4043,Suburb,Kolkata,600,4.7,4943,Burrito,Gluten-Free,40-50 min,Standard quality.
4044,Business District,Delhi,500,4.0,5235,Choco Lava Cake,Vegan,30-40 min,Perfectly cooked and well-seasoned.
4045,Downtown,Chennai,200,4.0,1975,Momos,Healthy,30-40 min,My new favorite dish!
4046,Old Town,Hyderabad,500,4.2,1475,Butter Chicken,Gluten-Free,50-60 min,Superb packaging and presentation.
4047,Downtown,Mumbai,900,4.7,2000,BBQ Ribs,Fast Food,50-60 min,Disappointed.
4048,Business District,Chennai,1000,3.5,1363,Gulab Jamun,Fast Food,20-30 min,Too spicy and oily.
4049,Old Town,Chennai,500,3.5,197,Veg Biryani,Vegan,40-50 min,Best meal I've had in a while!
4050,Tech Park,Ahmedabad,600,4.7,5590,Pancakes,Vegetarian,30-40 min,Late delivery ruined it.
4051,Downtown,Chennai,800,4.0,3077,Pancakes,Vegetarian,40-50 min,Nothing special but edible.
4052,Downtown,Ahmedabad,500,3.0,7280,French Fries,Healthy,50-60 min,Best meal I've had in a while!
4053,Suburb,Bangalore,600,5.0,8082,Falafel Wrap,Gluten-Free,20-30 min,Average taste.
4054,Business District,Bangalore,200,3.0,9214,Bubble Tea,Vegetarian,30-40 min,"Good, but nothing extraordinary."
4055,Old Town,Pune,800,4.7,6152,Veg Biryani,Non-Vegetarian,30-40 min,Absolutely loved it!
4056,Business District,Chennai,900,3.5,3791,Lassi,Healthy,40-50 min,Amazing taste and quick delivery.
4057,Business District,Delhi,700,3.5,6109,Pasta Alfredo,Non-Vegetarian,20-30 min,Too spicy and oily.
4058,Business District,Pune,800,4.0,6029,Tandoori Chicken,Non-Vegetarian,20-30 min,My new favorite dish!
4059,Suburb,Kolkata,100,4.0,1606,Pancakes,Fast Food,40-50 min,Worst experience ever.
4060,Downtown,Delhi,100,3.5,2596,Pav Bhaji,Vegetarian,20-30 min,Highly recommended!
4061,Business District,Delhi,500,4.5,4586,Steak,Vegan,50-60 min,Delicious and fresh.
4062,Residential Area,Kolkata,900,3.5,7075,French Fries,Vegetarian,20-30 min,My new favorite dish!
4063,Business District,Kolkata,900,3.5,7226,Pepperoni Pizza,Vegetarian,40-50 min,Average taste.
4064,Residential Area,Ahmedabad,800,4.7,5370,Mango Shake,Fast Food,20-30 min,Best meal I've had in a while!
4065,Downtown,Delhi,600,4.2,7731,Mango Shake,Gluten-Free,20-30 min,Disappointed.
4066,City Center,Hyderabad,800,4.5,4877,Smoothie Bowl,Fast Food,50-60 min,Tasty and worth the price.
4067,Tech Park,Kolkata,800,4.2,7496,Shawarma,Non-Vegetarian,30-40 min,Not worth the price.
4068,Old Town,Delhi,700,4.5,1253,Ramen,Non-Vegetarian,20-30 min,Absolutely loved it!
4069,Downtown,Chennai,1000,4.0,5899,Ramen,Vegetarian,40-50 min,Superb packaging and presentation.
4070,Old Town,Ahmedabad,900,3.5,3119,Chow Mein,Healthy,30-40 min,Superb packaging and presentation.
4071,Suburb,Bangalore,600,3.0,3465,Avocado Toast,Healthy,20-30 min,Superb packaging and presentation.
4072,Old Town,Delhi,900,3.0,9664,Bubble Tea,Vegetarian,50-60 min,Nothing special but edible.
4073,Suburb,Bangalore,200,4.5,1237,Shawarma,Vegetarian,30-40 min,Would order again if needed.
4074,Old Town,Mumbai,800,4.2,3467,Mango Shake,Gluten-Free,30-40 min,Standard quality.
4075,City Center,Delhi,600,4.5,8366,Bagel,Non-Vegetarian,20-30 min,"Good, but nothing extraordinary."
4076,Downtown,Ahmedabad,100,3.0,2044,Pepperoni Pizza,Healthy,30-40 min,Wouldn't order again.
4077,Downtown,Pune,700,3.5,5540,Croissant,Fast Food,30-40 min,Superb packaging and presentation.
4078,Business District,Chennai,200,3.5,8082,Pancakes,Gluten-Free,30-40 min,Standard quality.
4079,Tech Park,Ahmedabad,700,4.5,58,Grilled Cheese,Fast Food,20-30 min,A decent meal.
4080,Tech Park,Hyderabad,400,5.0,7741,Idli Sambar,Non-Vegetarian,50-60 min,My new favorite dish!
4081,Downtown,Delhi,400,5.0,7168,Chicken Biryani,Fast Food,20-30 min,Superb packaging and presentation.
4082,City Center,Pune,600,3.5,2032,Pancakes,Vegan,20-30 min,Highly recommended!
4083,Business District,Kolkata,500,3.0,6705,Poke Bowl,Non-Vegetarian,50-60 min,Worst experience ever.
4084,Residential Area,Kolkata,500,4.7,7644,Steak,Gluten-Free,30-40 min,A decent meal.
4085,Residential Area,Bangalore,800,5.0,5106,Pani Puri,Gluten-Free,50-60 min,Not as described.
4086,Business District,Kolkata,400,3.5,4186,Chicken Biryani,Vegetarian,40-50 min,Worst experience ever.
4087,Downtown,Chennai,600,3.5,787,Ramen,Vegetarian,50-60 min,Perfectly cooked and well-seasoned.
4088,Tech Park,Kolkata,100,3.5,398,Chicken Wings,Vegan,20-30 min,Wouldn't order again.
4089,Business District,Bangalore,200,3.5,7883,BBQ Ribs,Fast Food,50-60 min,Best meal I've had in a while!
4090,Tech Park,Delhi,700,5.0,1296,Grilled Cheese,Gluten-Free,20-30 min,My new favorite dish!
4091,Suburb,Pune,700,4.0,6877,Ramen,Gluten-Free,50-60 min,A decent meal.
4092,Residential Area,Delhi,400,4.2,6474,Waffles,Non-Vegetarian,20-30 min,Amazing taste and quick delivery.
4093,Old Town,Hyderabad,600,4.0,2598,Mango Shake,Gluten-Free,20-30 min,Highly recommended!
4094,Business District,Hyderabad,600,4.0,215,Ramen,Healthy,40-50 min,Tasty and worth the price.
4095,Old Town,Ahmedabad,900,4.2,581,Tacos,Vegetarian,30-40 min,Cold and stale food.
4096,Tech Park,Chennai,100,5.0,7071,French Fries,Vegetarian,30-40 min,Best meal I've had in a while!
4097,City Center,Chennai,300,4.0,2179,Cheeseburger,Non-Vegetarian,20-30 min,Superb packaging and presentation.
4098,City Center,Kolkata,1000,4.7,189,Ramen,Healthy,20-30 min,Delicious and fresh.
4099,City Center,Delhi,600,4.2,9199,Momos,Non-Vegetarian,20-30 min,Tasty and worth the price.
4100,Old Town,Bangalore,600,4.7,8482,Pav Bhaji,Gluten-Free,50-60 min,Amazing taste and quick delivery.
4101,Downtown,Bangalore,300,3.5,2034,Waffles,Vegan,20-30 min,Wouldn't order again.
4102,City Center,Ahmedabad,600,5.0,2908,Bagel,Healthy,30-40 min,Nothing special but edible.
4103,Tech Park,Pune,600,4.2,4024,Idli Sambar,Gluten-Free,20-30 min,Amazing taste and quick delivery.
4104,Suburb,Mumbai,1000,4.0,8303,Spring Rolls,Vegetarian,50-60 min,Not worth the price.
4105,Residential Area,Pune,900,4.2,8403,Gulab Jamun,Non-Vegetarian,30-40 min,Would order again if needed.
4106,City Center,Ahmedabad,1000,3.5,4496,Spring Rolls,Fast Food,40-50 min,Absolutely loved it!
4107,Old Town,Hyderabad,300,4.5,6352,Bubble Tea,Non-Vegetarian,20-30 min,Amazing taste and quick delivery.
4108,Downtown,Delhi,400,4.0,6404,Fish and Chips,Non-Vegetarian,50-60 min,Terrible taste!
4109,Suburb,Hyderabad,1000,3.5,376,French Fries,Vegan,40-50 min,Absolutely loved it!
4110,Suburb,Bangalore,700,5.0,9732,Smoothie Bowl,Non-Vegetarian,30-40 min,A decent meal.
4111,Business District,Bangalore,600,4.2,1102,Tandoori Chicken,Gluten-Free,20-30 min,My new favorite dish!
4112,City Center,Ahmedabad,900,4.0,937,Burrito,Vegetarian,20-30 min,"Good, but nothing extraordinary."
4113,Suburb,Bangalore,700,4.0,4410,Margherita Pizza,Healthy,20-30 min,Worst experience ever.
4114,Tech Park,Hyderabad,900,4.7,7634,Ramen,Non-Vegetarian,20-30 min,Perfectly cooked and well-seasoned.
4115,Suburb,Hyderabad,600,5.0,652,Butter Chicken,Vegetarian,50-60 min,Superb packaging and presentation.
4116,Old Town,Bangalore,100,4.5,4037,Spring Rolls,Vegetarian,40-50 min,Worst experience ever.
4117,Tech Park,Chennai,700,3.0,7160,Lassi,Healthy,20-30 min,"Good, but nothing extraordinary."
4118,Business District,Pune,300,3.0,4910,Pepperoni Pizza,Non-Vegetarian,30-40 min,Highly recommended!
4119,Old Town,Ahmedabad,900,4.7,9197,Paneer Butter Masala,Healthy,40-50 min,Superb packaging and presentation.
4120,Suburb,Kolkata,600,5.0,6960,Fruit Bowl,Vegan,50-60 min,Tasty and worth the price.
4121,Downtown,Ahmedabad,1000,4.7,2904,Salmon Teriyaki,Vegan,20-30 min,Highly recommended!
4122,Business District,Kolkata,200,5.0,3870,Veg Biryani,Gluten-Free,30-40 min,It was okay.
4123,Business District,Hyderabad,400,4.5,7295,Waffles,Vegan,30-40 min,Nothing special but edible.
4124,Residential Area,Chennai,700,3.0,8671,Bubble Tea,Healthy,30-40 min,Perfectly cooked and well-seasoned.
4125,Business District,Mumbai,900,4.5,4814,Dosa,Vegan,50-60 min,Standard quality.
4126,Business District,Mumbai,500,4.7,2273,Momos,Non-Vegetarian,30-40 min,Late delivery ruined it.
4127,Business District,Chennai,300,4.2,6336,Bubble Tea,Vegetarian,50-60 min,"Good, but nothing extraordinary."
4128,City Center,Delhi,300,3.0,6073,Ice Cream Sundae,Non-Vegetarian,20-30 min,Amazing taste and quick delivery.
4129,City Center,Delhi,500,3.5,694,Mango Shake,Vegan,20-30 min,Absolutely loved it!
4130,Residential Area,Pune,200,4.7,5310,Pasta Alfredo,Vegetarian,30-40 min,Would order again if needed.
4131,Tech Park,Bangalore,100,4.2,2623,Choco Lava Cake,Gluten-Free,50-60 min,Late delivery ruined it.
4132,Residential Area,Bangalore,400,3.5,1267,Pho,Vegan,50-60 min,Tasty and worth the price.
4133,Downtown,Pune,100,4.7,7076,Momos,Vegetarian,50-60 min,Would order again if needed.
4134,Suburb,Mumbai,400,4.7,8207,Bagel,Healthy,20-30 min,A decent meal.
4135,Downtown,Kolkata,300,4.0,4999,Chicken Wings,Gluten-Free,20-30 min,Would order again if needed.
4136,Residential Area,Chennai,300,4.7,3431,Falafel Wrap,Non-Vegetarian,40-50 min,"Good, but nothing extraordinary."
4137,Tech Park,Ahmedabad,500,5.0,2073,Pani Puri,Healthy,40-50 min,Absolutely loved it!
4138,Business District,Pune,500,4.5,4770,Waffles,Fast Food,30-40 min,Nothing special but edible.
4139,Residential Area,Delhi,1000,3.5,2442,Pho,Healthy,30-40 min,Standard quality.
4140,Business District,Bangalore,200,3.5,3793,Paneer Butter Masala,Healthy,50-60 min,Not worth the price.
4141,Old Town,Mumbai,200,4.7,8320,Lassi,Non-Vegetarian,20-30 min,Absolutely loved it!
4142,Residential Area,Bangalore,1000,4.5,8274,Margherita Pizza,Vegan,20-30 min,My new favorite dish!
4143,Business District,Bangalore,200,4.2,3447,Falafel Wrap,Vegetarian,20-30 min,Perfectly cooked and well-seasoned.
4144,Tech Park,Bangalore,700,3.0,8147,Fruit Bowl,Vegetarian,30-40 min,Perfectly cooked and well-seasoned.
4145,Residential Area,Mumbai,100,3.0,1536,Pancakes,Vegan,40-50 min,It was okay.
4146,Residential Area,Delhi,600,3.0,541,French Fries,Vegan,20-30 min,Neither great nor bad.
4147,Business District,Pune,100,3.0,6350,Brownie,Vegan,50-60 min,Late delivery ruined it.
4148,Downtown,Chennai,900,4.2,8271,Grilled Cheese,Non-Vegetarian,40-50 min,Standard quality.
4149,Downtown,Chennai,200,3.5,8622,Pepperoni Pizza,Gluten-Free,40-50 min,Terrible taste!
4150,City Center,Pune,200,4.7,9545,Pancakes,Non-Vegetarian,20-30 min,Standard quality.
4151,Downtown,Kolkata,100,4.7,3422,Croissant,Vegetarian,40-50 min,Amazing taste and quick delivery.
4152,Residential Area,Hyderabad,1000,5.0,6515,Pepperoni Pizza,Non-Vegetarian,20-30 min,Tasty and worth the price.
4153,Suburb,Mumbai,700,3.5,3060,Greek Salad,Vegan,20-30 min,"Good, but nothing extraordinary."
4154,City Center,Kolkata,200,4.7,7529,Dosa,Vegan,30-40 min,Would order again if needed.
4155,Suburb,Hyderabad,500,4.7,5157,French Fries,Healthy,50-60 min,Best meal I've had in a while!
4156,Residential Area,Ahmedabad,600,5.0,7053,Margherita Pizza,Healthy,20-30 min,Wouldn't order again.
4157,Business District,Ahmedabad,500,4.0,6176,Steak,Fast Food,30-40 min,Highly recommended!
4158,Residential Area,Pune,300,4.2,6858,Shawarma,Vegetarian,50-60 min,Superb packaging and presentation.
4159,Suburb,Mumbai,1000,4.7,9291,Croissant,Vegan,50-60 min,A decent meal.
4160,Old Town,Chennai,500,4.0,7523,Fruit Bowl,Healthy,20-30 min,Average taste.
4161,Residential Area,Delhi,100,3.5,6895,Pani Puri,Vegan,20-30 min,Highly recommended!
4162,Downtown,Mumbai,600,4.0,4586,Fruit Bowl,Vegetarian,40-50 min,Would order again if needed.
4163,Residential Area,Mumbai,600,5.0,3870,Smoothie Bowl,Gluten-Free,30-40 min,Neither great nor bad.
4164,Business District,Bangalore,400,4.7,5293,Pani Puri,Vegan,20-30 min,Wouldn't order again.
4165,Business District,Pune,600,4.2,5977,Pani Puri,Vegan,40-50 min,Tasty and worth the price.
4166,Downtown,Delhi,200,4.2,3115,French Fries,Vegetarian,50-60 min,It was okay.
4167,Old Town,Ahmedabad,1000,4.0,9850,Burrito,Vegetarian,40-50 min,Terrible taste!
4168,Business District,Delhi,300,4.0,8273,Fruit Bowl,Vegan,50-60 min,Nothing special but edible.
4169,Residential Area,Ahmedabad,400,4.7,369,Croissant,Healthy,30-40 min,Nothing special but edible.
4170,City Center,Bangalore,400,4.2,7210,Bagel,Non-Vegetarian,50-60 min,Delicious and fresh.
4171,Tech Park,Pune,400,4.2,246,Grilled Cheese,Fast Food,20-30 min,Nothing special but edible.
4172,Downtown,Bangalore,400,4.0,1903,Chicken Wings,Fast Food,50-60 min,Highly recommended!
4173,Business District,Ahmedabad,700,3.0,8685,Pho,Gluten-Free,30-40 min,Cold and stale food.
4174,Downtown,Chennai,400,4.0,341,Poke Bowl,Vegan,30-40 min,Standard quality.
4175,Downtown,Kolkata,400,4.7,8675,Chow Mein,Gluten-Free,20-30 min,"Good, but nothing extraordinary."
4176,Tech Park,Bangalore,100,4.2,6569,French Fries,Healthy,40-50 min,Delicious and fresh.
4177,Residential Area,Mumbai,500,4.0,3030,Avocado Toast,Vegetarian,30-40 min,Delicious and fresh.
4178,Residential Area,Kolkata,800,5.0,2371,Pho,Healthy,30-40 min,Standard quality.
4179,Tech Park,Chennai,100,4.7,264,Greek Salad,Non-Vegetarian,30-40 min,My new favorite dish!
4180,Downtown,Ahmedabad,700,4.2,3285,Pav Bhaji,Non-Vegetarian,20-30 min,Highly recommended!
4181,Old Town,Delhi,200,3.0,9666,Sushi,Vegan,20-30 min,Amazing taste and quick delivery.
4182,City Center,Mumbai,700,4.0,9103,Steak,Vegetarian,20-30 min,My new favorite dish!
4183,Business District,Ahmedabad,900,3.5,2323,Pasta Alfredo,Vegetarian,50-60 min,Amazing taste and quick delivery.
4184,Suburb,Chennai,600,3.5,5679,Pav Bhaji,Non-Vegetarian,40-50 min,Amazing taste and quick delivery.
4185,Business District,Ahmedabad,300,4.5,5297,Avocado Toast,Gluten-Free,50-60 min,It was okay.
4186,City Center,Delhi,800,3.5,1760,Grilled Cheese,Vegan,50-60 min,Would order again if needed.
4187,Tech Park,Kolkata,700,4.5,9937,Margherita Pizza,Non-Vegetarian,30-40 min,Too spicy and oily.
4188,Suburb,Pune,300,3.0,3247,Steak,Gluten-Free,40-50 min,Tasty and worth the price.
4189,Tech Park,Delhi,1000,4.2,9082,Tandoori Chicken,Fast Food,40-50 min,Nothing special but edible.
4190,Suburb,Ahmedabad,300,4.0,105,Pasta Alfredo,Healthy,20-30 min,Amazing taste and quick delivery.
4191,Old Town,Hyderabad,400,4.2,4046,Cold Coffee,Non-Vegetarian,40-50 min,Neither great nor bad.
4192,Old Town,Bangalore,900,4.2,3352,Dal Makhani,Vegetarian,40-50 min,Absolutely loved it!
4193,Suburb,Kolkata,400,4.5,7706,Chicken Wings,Fast Food,50-60 min,Nothing special but edible.
4194,Business District,Mumbai,900,3.0,4527,Mango Shake,Fast Food,50-60 min,Absolutely loved it!
4195,Residential Area,Mumbai,500,4.0,2976,Steak,Vegetarian,50-60 min,Amazing taste and quick delivery.
4196,Residential Area,Kolkata,300,4.7,7494,French Fries,Gluten-Free,30-40 min,Average taste.
4197,City Center,Pune,400,4.7,8672,Salmon Teriyaki,Vegetarian,30-40 min,Absolutely loved it!
4198,City Center,Pune,500,3.0,3921,Dal Makhani,Vegetarian,50-60 min,Wouldn't order again.
4199,Old Town,Ahmedabad,100,4.0,4017,Fish and Chips,Gluten-Free,40-50 min,Perfectly cooked and well-seasoned.
